Question,Type,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Family,Measures,Science,Key
How well do you adapt to changes in your environment or tasks?,single_select,Beginner: Maybe I could adjust to minor changes in routine,Basic: Learn new tasks when introduced,Skilled: Quickly adapt to new technologies or methods,Advanced: Lead others through significant changes,"Expert: Innovate and thrive in dynamic, changing environments",,misc,Personality Traits,What Color Is Your Parachute?,story_misc_52_baafbd8c
What do you do outside of school/work? Pick anything that fits.,single_select,Sports / training,Art / design,Music / dance / theater,Volunteering / helping out,Working a job,Other,motivations,,Other,story_motivations_2_cc8d4e45
"What activities or hobbies do you absolutely love doing in your free time? You know, those things that make you lose track of time because you’re having so much fun?",text,,,,,,,motivations,Motivations & Drivers,Ikigai,story_motivations_3_2ce6044f
Which of these do you think you’re best at and why? Below are just examples. Answer any way you like!,single_select,"Visual Arts (drawing, painting, writing)","Performing Arts (dancing, music)",Sports and Physical Activities,Solving Puzzles and Games,Helping Friends and Family,,motivations,Aptitude & Skills,Ikigai,story_motivations_4_570854e8
What subjects or topics do you find yourself reading or learning about independently on your own time?,text,,,,,,,motivations,Motivations & Drivers,Ikigai,story_motivations_5_155dc2f9
"When you’re faced with a challenge, how do you usually react? Below are examples. Feel free to add your own ideas!",single_select,Take charge,Look for creative solutions,Seek advice from others,Take some time to think it through,,,motivations,Personality Traits,Ikigai,story_motivations_6_0012fac3
"Now, let’s talk about how you interact with others. Which of these best describes you? Feel free to describe your own!",single_select,I’m the leader of my group,I’m the creative thinker,I’m the supportive friend,I’m the peacekeeper,,,motivations,Social Orientation,Ikigai,story_motivations_7_d30fd6ba
What do you like to do when you're on your own? Do you have any favorite solo activities?,text,,,,,,,motivations,Motivations & Drivers,Ikigai,story_motivations_8_789a2e08
Now imagine your perfect day. What activities would make it the best?,text,,,,,,,motivations,Motivations & Drivers,Ikigai,story_motivations_9_c06e0d70
"What activities make you feel the most confident and proud of yourself? Below are examples, but feel free to add your own.",single_select,Leading a group project,Helping someone solve a problem,Creating something new,Supporting a friend in need,,,motivations,Aptitude & Skills,Ikigai,story_motivations_10_0eb93fa9
"If you could have any job in the world, what would it be and why? Feel free to share whatever comes to mind.",text,,,,,,,motivations,Aspirations & Life Goals,Ikigai,story_motivations_11_69e37649
Let's think about some different areas you could explore. Which of these excites you the most? Make up your own if you like.,single_select,Arts and Entertainment,Science and Technology,Business and Entrepreneurship,Social Services,,,motivations,Motivations & Drivers,Ikigai,story_motivations_12_ce8d85e2
Who in your life do you really look up to? Why?,text,,,,,,,motivations,Aspirations & Life Goals,Ikigai,story_motivations_13_da3a95a4
"If you could spend a day with anyone, living or dead, who would it be? What would you talk about?",text,,,,,,,motivations,Aspirations & Life Goals,Ikigai,story_motivations_14_73c1d2d1
"How do you like to contribute to your community or help others? Here are some options, but feel free to add your own.",single_select,Volunteering for local organizations,Helping friends and family,Participating in community events,Advocating for social causes,,,motivations,Values & Beliefs,Ikigai,story_motivations_15_9eeccd4e
"When learning new things, how to you prefer to learn?",single_select,Reading,Hands-on,Online research or courses,,,,motivations,Learning & Thinking Style,Ikigai,story_motivations_16_d3bff909
What is a talent or skill of yours that you'd like to see more of in the world? How could you use it to help others?,text,,,,,,,motivations,Aptitude & Skills,Ikigai,story_motivations_17_ba235a9f
"When you imagine your future, what kind of person do you want to be?",single_select,A leader who inspires others,A creative person making a difference,A dependable and supportive friend,An expert in something you love,A calm and balanced individual,,motivations,Aspirations & Life Goals,Ikigai,story_motivations_18_e70b382a
"What are your top three values that guide your decisions and actions? Examples: Honesty, Kindness, Responsibility, Creativity, Ambition, Empathy",text,,,,,,,motivations,Values & Beliefs,Ikigai,story_motivations_19_8d0401aa
Describe a time when you had to overcome a significant obstacle. What did you learn from the experience?,text,,,,,,,motivations,Personality Traits,Ikigai,story_motivations_20_f114e332
How confident are you in identifying the root cause of a problem and finding a solution?,single_select,Beginner: I can follow instructions to fix a simple issue.,Basic: Identify the source of a problem and suggest a solution.,Skilled: Develop a plan to address a complex problem.,"Advanced: Implement solutions to prevent future issues,","Expert: Innovate new methods to solve problems in unique situations,",,skills,Learning & Thinking Style,What Color Is Your Parachute?,story_skills_33_62abfc91
How well do you communicate with others in different settings?,single_select,"Beginner: I sometimes talk to classmates or teachers, and maybe I’ve answered a phone call or passed along a message.",Basic: I can write a clear and respectful email to a teacher or respond appropriately in class discussions.,Skilled: I’ve led a group discussion or helped coordinate a group project.,"Advanced: I’ve persuaded others during a debate, resolved a disagreement in a group project, or advocated for myself or others in a school or job setting.","Expert: I’ve helped mediate conflicts between peers, led teams or clubs effectively, or facilitated productive discussions in challenging situations.",,skills,Social Orientation,What Color Is Your Parachute?,story_skills_34_1b44a447
How effectively do you work with others to achieve a common goal?,single_select,"Beginner: I’ve helped a group by doing simple tasks, like handing out materials or following instructions.",Basic: I share my ideas in group projects or class discussions and support my teammates.,"Skilled: I actively collaborate on school projects, clubs, or sports teams to complete shared goals.",Advanced: I’ve taken the lead on group assignments or helped keep my team organized and motivated.,"Expert: I’ve guided teams from different groups (like clubs, classes, or volunteer organizations) to work together and succeed.",,skills,Social Orientation,What Color Is Your Parachute?,story_skills_35_5bac8adf
How proficient are you in managing time and resources?,single_select,"Beginner: I try to keep my backpack, locker, or workspace tidy.",Basic: I use a planner or to-do list to stay on top of homework or personal tasks.,"Skilled: I can juggle multiple responsibilities like school, a part-time job, and extracurricular activities.","Advanced: I’ve helped plan events like school fundraisers, club meetings, or group trips.",Expert: I’ve created systems (like calendars or checklists) to keep long-term projects or groups organized and on track.,,skills,"Aptitude & Skills, Personality Traits",What Color Is Your Parachute?,story_skills_36_59832352
How strong are your creative abilities in generating new ideas or solutions?,single_select,"Beginner: I like to draw, doodle, or think of fun ideas in my free time.",Basic: I’ve made simple designs or creative projects for school assignments.,"Skilled: I’ve come up with unique ideas or creative solutions during class, club activities, or personal projects.","Advanced: I’ve designed detailed projects, written stories, composed music, or made original content that others noticed.","Expert: I regularly create innovative work or ideas that inspire or influence others (like in art, writing, leadership, or tech).",,skills,Creative & Aesthetic Orientation,What Color Is Your Parachute?,story_skills_37_7fc37fbe
How effective are you in providing service to customers or clients?,single_select,"Beginner: I can greet people politely and help with simple questions or tasks (like at a school event, store, or front office).",Basic: I’ve handled basic requests or answered questions in a calm and respectful way (like in a part-time job or volunteer role).,Skilled: I’ve helped solve problems or complaints while keeping a positive attitude and making sure the person felt heard.,Advanced: I’ve mentored new team members and shown others how to give good service or helped improve how our group interacts with people.,"Expert: I’ve come up with new ways to make customers or community members feel supported, and shared those ideas with others to improve the experience overall.",,skills,Social Orientation,What Color Is Your Parachute?,story_skills_38_0cebc9d5
How confident are you in working with technical tools and machinery?,single_select,Beginner: I can change a lightbulb.,Basic: I can use a power drill to hang a picture.,Skilled: I can repair a broken appliance.,Advanced: I can troubleshoot and fix mechanical issues on a vehicle.,Expert: I can design and build a custom piece of machinery.,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_39_3c4ed335
How well do you lead and manage others? Beginner: I’ve stepped up to lead a small part of a group task when needed.,single_select,"Basic: I can organize a group project, assign tasks, and keep people on track.","Skilled: I’ve led a team to meet a deadline or complete a challenging goal (like in a class, club, or job).",Advanced: I’ve helped teammates improve their skills or confidence by mentoring or coaching them.,"Expert: I’ve taken the lead during big changes in a group, club, or organization and helped guide others through it successfully.",,,skills,Social Orientation,What Color Is Your Parachute?,story_skills_40_2be1e162
How comfortable are you with analyzing data or information to make decisions? Beginner: I’ve helped collect or organize basic information for a school project or club.,single_select,Basic: I can look at data (like a survey or grades) and notice simple patterns or trends.,"Skilled: I’ve made informed decisions using charts, graphs, or research (like choosing a fundraising method or comparing job offers).",Advanced: I’ve created reports or presentations using data to support my ideas or recommendations.,"Expert: I’ve used in-depth analysis to guide a strategy or plan for a team, event, or business project.",,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_41_449dc71e
How skilled are you in construction-related tasks? Beginner: I can hang a picture or help put together a piece of furniture.,single_select,Basic: I can safely use basic tools to do small repairs (like fixing a squeaky hinge or tightening screws).,"Skilled: I’ve completed hands-on tasks like fixing a leak, painting a room, or replacing light fixtures.","Advanced: I’ve taken on bigger projects like building a shed, helping with home repairs, or setting up a workspace.","Expert: I’ve designed and built complex projects from start to finish, possibly with blueprints, power tools, or construction planning.",,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_42_b91c2606
How proficient are you in managing budgets or financial resources?,single_select,"Beginner: I’ve tracked my personal spending or started saving for something like a phone, trip, or college.","Basic: I’ve made a simple budget for a school event, club activity, or personal project.","Skilled: I’ve helped manage money for a fundraiser, student group, or small business (like babysitting or a side hustle).","Advanced: I’ve created financial plans, compared options, or forecasted expenses for larger projects or goals.","Expert: I’ve overseen the full budget for a group, club, or event, and made key financial decisions.",,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_43_a3b3866a
How well can you teach or train others? Beginner: I’ve helped a friend or classmate understand something they were struggling with.,single_select,"Basic: I’ve tutored someone in a subject I’m strong in, like math or writing.","Skilled: I’ve led a small group in learning a new skill (like in a club, sport, or job training).","Advanced: I’ve created lessons, training guides, or workshops to help others learn.","Expert: I’ve designed full educational programs, lesson plans, or training systems and helped others implement them.",,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_44_fd208be6
How confident are you in managing projects from start to finish?,single_select,Beginner: Maybe I could assist with tasks on a small project,Basic: Plan and execute a simple project,Skilled: Manage all aspects of a mid-sized project,Advanced: Lead a large project,"Expert: Oversee complex, multi-phase projects",,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_45_aa4c0511
How effective are you in promoting products or services?,single_select,Beginner: Maybe I could explain the benefits of a product to a friend,Basic: Help with promotions at a school or community event,Skilled: Sell products or services in a retail environment,Advanced: Develop marketing campaigns for a small business,Expert: Create and execute strategic marketing plans for large organizations,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_46_772bad68
How well do you understand and apply health and safety practices?,single_select,Beginner: I could follow basic safety rules in the workplace,Basic: Use personal protective equipment correctly,Skilled: Conduct safety inspections and report hazards,Advanced: Implement safety protocols and train others,Expert: Develop comprehensive health and safety programs,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_47_7b0c7aab
How proficient are you in conducting research to gather information?,single_select,Beginner: Find basic information online,Basic: Conduct research for a school project,Skilled: Use multiple sources to compile detailed reports,Advanced: Analyze research findings and present conclusions,Expert: Conduct original research and publish findings,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_48_3952d94a
How comfortable are you in interacting with others in a professional setting?,single_select,Beginner: Greet and engage in small talk with colleagues,Basic: Participate in group discussions,Skilled: Build and maintain professional relationships,Advanced: Negotiate and collaborate on complex tasks,"Expert: Manage relationships with clients, partners, and stakeholders",,skills,Social Orientation,What Color Is Your Parachute?,story_skills_49_d84fff7d
How skilled are you in organizing and managing logistics?,single_select,Beginner: Maybe I could organize a small event or gathering,Basic: Coordinate the delivery of supplies for a project,Skilled: Manage inventory and supply chains for a business,Advanced: Oversee logistics for large-scale events or operations,Expert: Develop and optimize complex logistical systems,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_50_454dcb05
How comfortable are you with using various software tools?,single_select,Beginner: Use basic word processing and spreadsheet tools,Basic: Create presentations and simple databases,Skilled: Utilize specialized software for specific tasks,Advanced: Integrate multiple software tools for efficient workflows,Expert: Develop custom software solutions or advanced integrations,,skills,Aptitude & Skills,What Color Is Your Parachute?,story_skills_51_e962fa0a
"Think about something fun you’ve worked on before, like a school project or a hobby. What made it so awesome for you?",text,,,,,,,strengths,Motivations & Drivers,Enneagram,story_strengths_21_70a9ab9b
"Can you remember a time when you learned something super fast? What was it, and why do you think you got the hang of it so quickly?",text,,,,,,,strengths,Aptitude & Skills,Enneagram,story_strengths_22_911dae2d
Think about a time when you faced a tough challenge. What kinds of skills did you use to get through it?,text,,,,,,,strengths,Personality Traits,Enneagram,story_strengths_23_ebe8633f
"When you’re working on a group project or with friends, what role do you usually take on? Why do you think that is?",text,,,,,,,strengths,Social Orientation,Enneagram,story_strengths_24_63533f98
"Think about a time when you really understood what someone else was feeling. How did you respond to their emotions, and what happened after?",text,,,,,,,strengths,Emotional Style,Enneagram,story_strengths_25_d8f8d4f5
"Think about a time when you noticed a problem that others didn’t see. How did you find it, and what did you do to fix it?",text,,,,,,,strengths,Aptitude & Skills,Enneagram,story_strengths_26_a738a9e6
Think about a time when you took initiative to take the lead on a project. What made you want to step up?,text,,,,,,,strengths,Social Orientation,Enneagram,story_strengths_27_546a82fd
"Think about a past project or team that you were on that succeeded (in school, sports, or family for example). What was your role, and how did you help the team succeed?",text,,,,,,,strengths,Social Orientation,Enneagram,story_strengths_28_f027c2db
"Think about a time when you had to adapt quickly to a big change, like a new school or a different team. How did you handle it, and what happened in the end?",text,,,,,,,strengths,Personality Traits,Enneagram,story_strengths_29_6db9f26e
"Think about a time when communication was super important to get something done. What was going on, and how did your way of talking or listening help?",text,,,,,,,strengths,Social Orientation,Enneagram,story_strengths_30_de3a33b0
"Think about something you’re really proud of (school, extracurriculars). What challenges did you overcome to achieve this win?",text,,,,,,,strengths,Motivations & Drivers,Enneagram,story_strengths_31_2b624fb7
"Can you remember a time when you convinced others to see things your way, like during a group project or a debate? What did you do to persuade them?",text,,,,,,,strengths,Social Orientation,Enneagram,story_strengths_32_f7e6d777